Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Valorant Champions 2024,Group Stage,Opening (B),Bind,FunPlus Phoenix,chamber,1,0,1
Valorant Champions 2024,Group Stage,Opening (B),Bind,Team Heretics,viper,0,1,1
Valorant Champions 2024,Group Stage,Opening (B),Bind,Team Heretics,fade,0,1,1
Valorant Champions 2024,Group Stage,Opening (B),Bind,Team Heretics,raze,0,1,1
Valorant Champions 2024,Group Stage,Opening (B),Bind,Team Heretics,gekko,0,1,1
Valorant Champions 2024,Group Stage,Opening (B),Bind,Team Heretics,brimstone,0,1,1
Valorant Champions 2024,Group Stage,Opening (B),Lotus,FunPlus Phoenix,omen,0,1,1
Valorant Champions 2024,Group Stage,Opening (B),Lotus,FunPlus Phoenix,viper,0,1,1
Valorant Champions 2024,Group Stage,Opening (B),Lotus,FunPlus Phoenix,raze,0,1,1
Valorant Champions 2024,Group Stage,Opening (B),Lotus,FunPlus Phoenix,gekko,0,1,1
Valorant Champions 2024,Group Stage,Opening (B),Lotus,FunPlus Phoenix,astra,0,1,1
Valorant Champions 2024,Group Stage,Opening (B),Lotus,Team Heretics,omen,1,0,1
Valorant Champions 2024,Group Stage,Opening (B),Lotus,Team Heretics,viper,1,0,1
Valorant Champions 2024,Group Stage,Opening (B),Lotus,Team Heretics,fade,1,0,1
Valorant Champions 2024,Group Stage,Opening (B),Lotus,Team Heretics,raze,1,0,1
Valorant Champions 2024,Group Stage,Opening (B),Lotus,Team Heretics,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Abyss,Gen.G,viper,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Abyss,Gen.G,astra,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Abyss,Gen.G,jett,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Abyss,Gen.G,sova,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Abyss,Gen.G,yoru,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Abyss,Team Heretics,astra,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Abyss,Team Heretics,jett,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Abyss,Team Heretics,sova,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Abyss,Team Heretics,gekko,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Abyss,Team Heretics,cypher,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Lotus,Gen.G,viper,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Lotus,Gen.G,raze,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Lotus,Gen.G,omen,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Lotus,Gen.G,killjoy,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Lotus,Gen.G,fade,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Lotus,Team Heretics,viper,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Lotus,Team Heretics,raze,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Lotus,Team Heretics,omen,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Lotus,Team Heretics,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Lotus,Team Heretics,fade,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Bind,Gen.G,viper,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Bind,Gen.G,raze,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Bind,Gen.G,skye,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Bind,Gen.G,cypher,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Bind,Gen.G,brimstone,0,1,1
Valorant Champions 2024,Group Stage,Winner's (B),Bind,Team Heretics,viper,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Bind,Team Heretics,astra,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Bind,Team Heretics,skye,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Bind,Team Heretics,yoru,1,0,1
Valorant Champions 2024,Group Stage,Winner's (B),Bind,Team Heretics,gekko,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Bind,Sentinels,viper,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Bind,Sentinels,fade,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Bind,Sentinels,gekko,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Bind,Sentinels,raze,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Bind,Sentinels,brimstone,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Bind,FunPlus Phoenix,viper,0,1,1
Valorant Champions 2024,Group Stage,Elimination (B),Bind,FunPlus Phoenix,omen,0,1,1
Valorant Champions 2024,Group Stage,Elimination (B),Bind,FunPlus Phoenix,fade,0,1,1
Valorant Champions 2024,Group Stage,Elimination (B),Bind,FunPlus Phoenix,chamber,0,1,1
Valorant Champions 2024,Group Stage,Elimination (B),Bind,FunPlus Phoenix,yoru,0,1,1
Valorant Champions 2024,Group Stage,Elimination (B),Lotus,Sentinels,viper,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Lotus,Sentinels,omen,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Lotus,Sentinels,fade,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Lotus,Sentinels,raze,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Lotus,Sentinels,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Elimination (B),Lotus,FunPlus Phoenix,viper,0,1,1
Valorant Champions 2024,Group Stage,Elimination (B),Lotus,FunPlus Phoenix,omen,0,1,1
Valorant Champions 2024,Group Stage,Elimination (B),Lotus,FunPlus Phoenix,chamber,0,1,1
Valorant Champions 2024,Group Stage,Elimination (B),Lotus,FunPlus Phoenix,gekko,0,1,1
Valorant Champions 2024,Group Stage,Elimination (B),Lotus,FunPlus Phoenix,breach,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Lotus,Gen.G,killjoy,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Lotus,Gen.G,viper,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Lotus,Gen.G,fade,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Lotus,Gen.G,raze,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Lotus,Gen.G,omen,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Lotus,Sentinels,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Decider (B),Lotus,Sentinels,viper,1,0,1
Valorant Champions 2024,Group Stage,Decider (B),Lotus,Sentinels,fade,1,0,1
Valorant Champions 2024,Group Stage,Decider (B),Lotus,Sentinels,raze,1,0,1
Valorant Champions 2024,Group Stage,Decider (B),Lotus,Sentinels,omen,1,0,1
Valorant Champions 2024,Group Stage,Decider (B),Icebox,Gen.G,killjoy,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Icebox,Gen.G,viper,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Icebox,Gen.G,kayo,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Icebox,Gen.G,jett,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Icebox,Gen.G,gekko,0,1,1
Valorant Champions 2024,Group Stage,Decider (B),Icebox,Sentinels,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Decider (B),Icebox,Sentinels,viper,1,0,1
Valorant Champions 2024,Group Stage,Decider (B),Icebox,Sentinels,kayo,1,0,1
Valorant Champions 2024,Group Stage,Decider (B),Icebox,Sentinels,jett,1,0,1
Valorant Champions 2024,Group Stage,Decider (B),Icebox,Sentinels,sova,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Team Vitality,omen,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Team Vitality,raze,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Team Vitality,viper,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Team Vitality,gekko,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Team Vitality,fade,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Trace Esports,cypher,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Trace Esports,raze,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Trace Esports,skye,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Trace Esports,brimstone,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Trace Esports,deadlock,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,LEVIATÁN,raze,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,LEVIATÁN,viper,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,LEVIATÁN,skye,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,LEVIATÁN,brimstone,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,LEVIATÁN,gekko,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Talon Esports,omen,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Talon Esports,viper,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Talon Esports,skye,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Talon Esports,neon,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Bind,Talon Esports,yoru,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Team Vitality,omen,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Team Vitality,sova,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Team Vitality,kayo,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Team Vitality,jett,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Team Vitality,killjoy,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Trace Esports,omen,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Trace Esports,sova,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Trace Esports,kayo,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Trace Esports,jett,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Trace Esports,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,LEVIATÁN,omen,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,LEVIATÁN,sova,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,LEVIATÁN,cypher,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,LEVIATÁN,jett,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,LEVIATÁN,deadlock,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Talon Esports,sova,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Talon Esports,kayo,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Talon Esports,sage,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Talon Esports,phoenix,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Ascent,Talon Esports,clove,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Sunset,Team Vitality,omen,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Sunset,Team Vitality,sova,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Sunset,Team Vitality,kayo,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Sunset,Team Vitality,cypher,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Sunset,Team Vitality,neon,1,0,1
Valorant Champions 2024,Group Stage,Opening (C),Sunset,Trace Esports,omen,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Sunset,Trace Esports,sova,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Sunset,Trace Esports,cypher,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Sunset,Trace Esports,raze,0,1,1
Valorant Champions 2024,Group Stage,Opening (C),Sunset,Trace Esports,breach,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Bind,LEVIATÁN,raze,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Bind,LEVIATÁN,brimstone,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Bind,LEVIATÁN,skye,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Bind,LEVIATÁN,viper,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Bind,LEVIATÁN,gekko,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Bind,Trace Esports,cypher,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Bind,Trace Esports,raze,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Bind,Trace Esports,brimstone,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Bind,Trace Esports,deadlock,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Bind,Trace Esports,skye,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Sunset,LEVIATÁN,sova,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Sunset,LEVIATÁN,cypher,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Sunset,LEVIATÁN,omen,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Sunset,LEVIATÁN,breach,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Sunset,LEVIATÁN,neon,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Sunset,Trace Esports,sova,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Sunset,Trace Esports,cypher,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Sunset,Trace Esports,omen,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Sunset,Trace Esports,raze,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Sunset,Trace Esports,breach,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Ascent,LEVIATÁN,sova,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Ascent,LEVIATÁN,cypher,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Ascent,LEVIATÁN,omen,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Ascent,LEVIATÁN,deadlock,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Ascent,LEVIATÁN,jett,0,1,1
Valorant Champions 2024,Group Stage,Winner's (C),Ascent,Trace Esports,sova,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Ascent,Trace Esports,omen,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Ascent,Trace Esports,jett,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Ascent,Trace Esports,kayo,1,0,1
Valorant Champions 2024,Group Stage,Winner's (C),Ascent,Trace Esports,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Elimination (C),Lotus,Talon Esports,omen,0,1,1
Valorant Champions 2024,Group Stage,Elimination (C),Lotus,Talon Esports,fade,0,1,1
Valorant Champions 2024,Group Stage,Elimination (C),Lotus,Talon Esports,raze,0,1,1
Valorant Champions 2024,Group Stage,Elimination (C),Lotus,Talon Esports,deadlock,0,1,1
Valorant Champions 2024,Group Stage,Elimination (C),Lotus,Talon Esports,clove,0,1,1
Valorant Champions 2024,Group Stage,Elimination (C),Lotus,Team Vitality,omen,1,0,1
Valorant Champions 2024,Group Stage,Elimination (C),Lotus,Team Vitality,cypher,1,0,1
Valorant Champions 2024,Group Stage,Elimination (C),Lotus,Team Vitality,fade,1,0,1
Valorant Champions 2024,Group Stage,Elimination (C),Lotus,Team Vitality,raze,1,0,1
Valorant Champions 2024,Group Stage,Elimination (C),Lotus,Team Vitality,breach,1,0,1
Valorant Champions 2024,Group Stage,Elimination (C),Sunset,Talon Esports,omen,0,1,1
Valorant Champions 2024,Group Stage,Elimination (C),Sunset,Talon Esports,cypher,0,1,1
Valorant Champions 2024,Group Stage,Elimination (C),Sunset,Talon Esports,fade,0,1,1
Valorant Champions 2024,Group Stage,Elimination (C),Sunset,Talon Esports,raze,0,1,1
Valorant Champions 2024,Group Stage,Elimination (C),Sunset,Talon Esports,deadlock,0,1,1
Valorant Champions 2024,Group Stage,Elimination (C),Sunset,Team Vitality,omen,1,0,1
Valorant Champions 2024,Group Stage,Elimination (C),Sunset,Team Vitality,cypher,1,0,1
Valorant Champions 2024,Group Stage,Elimination (C),Sunset,Team Vitality,kayo,1,0,1
Valorant Champions 2024,Group Stage,Elimination (C),Sunset,Team Vitality,sova,1,0,1
Valorant Champions 2024,Group Stage,Elimination (C),Sunset,Team Vitality,neon,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Icebox,LEVIATÁN,sova,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Icebox,LEVIATÁN,viper,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Icebox,LEVIATÁN,jett,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Icebox,LEVIATÁN,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Icebox,LEVIATÁN,harbor,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Icebox,Team Vitality,sova,0,1,1
Valorant Champions 2024,Group Stage,Decider (C),Icebox,Team Vitality,viper,0,1,1
Valorant Champions 2024,Group Stage,Decider (C),Icebox,Team Vitality,jett,0,1,1
Valorant Champions 2024,Group Stage,Decider (C),Icebox,Team Vitality,killjoy,0,1,1
Valorant Champions 2024,Group Stage,Decider (C),Icebox,Team Vitality,gekko,0,1,1
Valorant Champions 2024,Group Stage,Decider (C),Sunset,LEVIATÁN,sova,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Sunset,LEVIATÁN,omen,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Sunset,LEVIATÁN,cypher,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Sunset,LEVIATÁN,neon,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Sunset,LEVIATÁN,breach,1,0,1
Valorant Champions 2024,Group Stage,Decider (C),Sunset,Team Vitality,sova,0,1,1
Valorant Champions 2024,Group Stage,Decider (C),Sunset,Team Vitality,omen,0,1,1
Valorant Champions 2024,Group Stage,Decider (C),Sunset,Team Vitality,cypher,0,1,1
Valorant Champions 2024,Group Stage,Decider (C),Sunset,Team Vitality,neon,0,1,1
Valorant Champions 2024,Group Stage,Decider (C),Sunset,Team Vitality,kayo,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,EDward Gaming,fade,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,EDward Gaming,omen,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,EDward Gaming,neon,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,EDward Gaming,breach,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,EDward Gaming,clove,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,FUT Esports,viper,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,FUT Esports,omen,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,FUT Esports,jett,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,FUT Esports,breach,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,FUT Esports,cypher,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,G2 Esports,viper,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,G2 Esports,fade,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,G2 Esports,omen,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,G2 Esports,raze,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,G2 Esports,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,Paper Rex,fade,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,Paper Rex,omen,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,Paper Rex,jett,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,Paper Rex,neon,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Lotus,Paper Rex,kayo,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Bind,EDward Gaming,viper,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Bind,EDward Gaming,fade,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Bind,EDward Gaming,gekko,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Bind,EDward Gaming,raze,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Bind,EDward Gaming,brimstone,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Bind,FUT Esports,viper,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Bind,FUT Esports,fade,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Bind,FUT Esports,gekko,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Bind,FUT Esports,raze,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Bind,FUT Esports,brimstone,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Icebox,G2 Esports,viper,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Icebox,G2 Esports,gekko,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Icebox,G2 Esports,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Icebox,G2 Esports,sova,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Icebox,G2 Esports,harbor,1,0,1
Valorant Champions 2024,Group Stage,Opening (D),Icebox,Paper Rex,viper,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Icebox,Paper Rex,jett,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Icebox,Paper Rex,killjoy,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Icebox,Paper Rex,sova,0,1,1
Valorant Champions 2024,Group Stage,Opening (D),Icebox,Paper Rex,sage,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Icebox,EDward Gaming,viper,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Icebox,EDward Gaming,sova,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Icebox,EDward Gaming,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Icebox,EDward Gaming,kayo,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Icebox,EDward Gaming,jett,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Icebox,G2 Esports,viper,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Icebox,G2 Esports,sova,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Icebox,G2 Esports,gekko,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Icebox,G2 Esports,killjoy,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Icebox,G2 Esports,harbor,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Haven,EDward Gaming,sova,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Haven,EDward Gaming,omen,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Haven,EDward Gaming,breach,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Haven,EDward Gaming,neon,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Haven,EDward Gaming,cypher,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Haven,G2 Esports,viper,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Haven,G2 Esports,sova,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Haven,G2 Esports,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Haven,G2 Esports,omen,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Haven,G2 Esports,yoru,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Bind,EDward Gaming,viper,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Bind,EDward Gaming,gekko,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Bind,EDward Gaming,brimstone,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Bind,EDward Gaming,raze,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Bind,EDward Gaming,fade,0,1,1
Valorant Champions 2024,Group Stage,Winner's (D),Bind,G2 Esports,viper,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Bind,G2 Esports,gekko,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Bind,G2 Esports,brimstone,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Bind,G2 Esports,raze,1,0,1
Valorant Champions 2024,Group Stage,Winner's (D),Bind,G2 Esports,skye,1,0,1
Valorant Champions 2024,Group Stage,Elimination (D),Sunset,FUT Esports,gekko,0,1,1
Valorant Champions 2024,Group Stage,Elimination (D),Sunset,FUT Esports,raze,0,1,1
Valorant Champions 2024,Group Stage,Elimination (D),Sunset,FUT Esports,omen,0,1,1
Valorant Champions 2024,Group Stage,Elimination (D),Sunset,FUT Esports,breach,0,1,1
Valorant Champions 2024,Group Stage,Elimination (D),Sunset,FUT Esports,cypher,0,1,1
Valorant Champions 2024,Group Stage,Elimination (D),Sunset,Paper Rex,gekko,1,0,1
Valorant Champions 2024,Group Stage,Elimination (D),Sunset,Paper Rex,raze,1,0,1
Valorant Champions 2024,Group Stage,Elimination (D),Sunset,Paper Rex,omen,1,0,1
Valorant Champions 2024,Group Stage,Elimination (D),Sunset,Paper Rex,breach,1,0,1
Valorant Champions 2024,Group Stage,Elimination (D),Sunset,Paper Rex,sage,1,0,1
Valorant Champions 2024,Group Stage,Elimination (D),Bind,FUT Esports,gekko,0,1,1
Valorant Champions 2024,Group Stage,Elimination (D),Bind,FUT Esports,raze,0,1,1
Valorant Champions 2024,Group Stage,Elimination (D),Bind,FUT Esports,brimstone,0,1,1
Valorant Champions 2024,Group Stage,Elimination (D),Bind,FUT Esports,viper,0,1,1
Valorant Champions 2024,Group Stage,Elimination (D),Bind,FUT Esports,fade,0,1,1
Valorant Champions 2024,Group Stage,Elimination (D),Bind,Paper Rex,gekko,1,0,1
Valorant Champions 2024,Group Stage,Elimination (D),Bind,Paper Rex,raze,1,0,1
Valorant Champions 2024,Group Stage,Elimination (D),Bind,Paper Rex,brimstone,1,0,1
Valorant Champions 2024,Group Stage,Elimination (D),Bind,Paper Rex,viper,1,0,1
Valorant Champions 2024,Group Stage,Elimination (D),Bind,Paper Rex,fade,1,0,1
Valorant Champions 2024,Group Stage,Decider (D),Icebox,EDward Gaming,sova,0,1,1
Valorant Champions 2024,Group Stage,Decider (D),Icebox,EDward Gaming,jett,0,1,1
Valorant Champions 2024,Group Stage,Decider (D),Icebox,EDward Gaming,kayo,0,1,1
Valorant Champions 2024,Group Stage,Decider (D),Icebox,EDward Gaming,viper,0,1,1
Valorant Champions 2024,Group Stage,Decider (D),Icebox,EDward Gaming,killjoy,0,1,1
Valorant Champions 2024,Group Stage,Decider (D),Icebox,Paper Rex,sova,1,0,1
Valorant Champions 2024,Group Stage,Decider (D),Icebox,Paper Rex,jett,1,0,1
Valorant Champions 2024,Group Stage,Decider (D),Icebox,Paper Rex,viper,1,0,1
Valorant Champions 2024,Group Stage,Decider (D),Icebox,Paper Rex,sage,1,0,1
Valorant Champions 2024,Group Stage,Decider (D),Icebox,Paper Rex,killjoy,1,0,1
Valorant Champions 2024,Group Stage,Decider (D),Sunset,EDward Gaming,omen,1,0,1
Valorant Champions 2024,Group Stage,Decider (D),Sunset,EDward Gaming,sova,1,0,1
Valorant Champions 2024,Group Stage,Decider (D),Sunset,EDward Gaming,kayo,1,0,1
